iter	Passed	Remaining
0	5	2984
1	10	2638
2	15	2512
3	19	2445
4	24	2412
5	28	2379
6	33	2357
7	38	2338
8	42	2323
9	47	2307
10	51	2293
11	56	2282
12	60	2276
13	65	2266
14	69	2258
15	73	2235
16	77	2214
17	82	2203
18	86	2201
19	91	2197
20	96	2193
21	100	2188
22	105	2185
23	109	2180
24	114	2172
25	119	2171
26	123	2167
27	128	2164
28	132	2153
29	137	2147
30	141	2144
31	146	2141
32	150	2127
33	154	2112
34	158	2108
35	163	2102
36	166	2088
37	171	2083
38	175	2077
39	179	2067
40	184	2062
41	188	2058
42	192	2047
43	196	2035
44	200	2025
45	204	2017
46	208	2006
47	212	2001
48	217	1998
49	221	1990
50	225	1986
51	230	1982
52	234	1979
53	239	1975
54	243	1968
55	247	1964
56	251	1957
57	256	1954
58	260	1950
59	264	1941
60	268	1934
61	273	1931
62	277	1923
63	281	1919
64	285	1911
65	289	1903
66	293	1897
67	297	1888
68	301	1886
69	305	1876
70	310	1875
71	314	1872
72	320	1875
73	325	1876
74	330	1874
75	334	1868
76	339	1864
77	343	1860
78	347	1852
79	351	1844
80	355	1836
81	359	1832
82	363	1827
83	368	1823
84	372	1816
85	376	1812
86	380	1807
87	385	1803
88	389	1798
89	393	1793
90	397	1786
91	401	1779
92	405	1776
93	410	1771
94	414	1767
95	418	1760
96	422	1756
97	427	1752
98	431	1748
99	436	1744
100	440	1738
101	443	1731
102	447	1725
103	452	1721
104	456	1717
105	460	1711
106	464	1707
107	468	1701
108	473	1697
109	477	1691
110	481	1687
111	485	1681
112	489	1675
113	493	1670
114	497	1666
115	502	1662
116	506	1657
117	511	1654
118	515	1650
119	519	1646
120	523	1640
121	527	1634
122	531	1630
123	535	1625
124	540	1621
125	544	1616
126	548	1611
127	552	1606
128	557	1602
129	561	1597
130	565	1594
131	569	1588
132	574	1584
133	578	1579
134	582	1575
135	586	1570
136	590	1564
137	594	1558
138	597	1552
139	601	1547
140	605	1542
141	609	1536
142	613	1531
143	617	1527
144	621	1522
145	626	1518
146	630	1513
147	634	1508
148	638	1504
149	643	1500
150	646	1494
151	650	1490
152	654	1485
153	659	1480
154	663	1476
155	667	1471
156	671	1467
157	675	1462
158	680	1458
159	683	1453
160	687	1447
161	691	1442
162	695	1438
163	699	1433
164	703	1428
165	707	1423
166	711	1418
167	715	1414
168	719	1408
169	723	1404
170	726	1398
171	730	1393
172	734	1387
173	738	1383
174	742	1378
175	746	1374
176	750	1370
177	755	1366
178	758	1360
179	762	1356
180	766	1351
181	770	1346
182	774	1341
183	778	1337
184	782	1332
185	786	1328
186	791	1324
187	795	1320
